"Selected items1"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"	"2014-15"	"2015-16"
"Work related uniform/clothing, laundry and dry cleaning expenses - occupation-specific clothing"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	431625	470895	"487725"	478825	493085	507255	514453	513417	518062	525913
"Work related uniform/clothing, laundry and dry cleaning expenses - occupation-specific clothing"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	119869546	133057086	"140010575"	141337046	147594845	152920565	156858181	160442445	169299730	178944596
"Work related uniform/clothing, laundry and dry cleaning expenses - code blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	180355	165775	"132395"	126830	115360	93464	54849	44840	32445	40505
"Work related uniform/clothing, laundry and dry cleaning expenses - code blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40869706	39673563	"33884824"	35214995	31534233	25658707	15174871	12405673	9528404	13530728
"Total work related uniform/clothing, laundry and dry cleaning expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3609975	3234200	3032635	3193560	3404915	3471830	3569215	3718220	3978840	4139675	4470445	4632900	4869855	5116225	5332905	5560895	5905090	"5914565"	5998425	6156330	6343398	6319903	6423560	6394779	6299356
"Total work related uniform/clothing, laundry and dry cleaning expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.34e+08	6.35e+08	5.45e+08	5.75e+08	629757234	641794834	669847625	711778067	794023027	851878284	1127293984	1031993180	1110895143	1182056524	1263559059	1337486552	1456776081	"1486873560"	1545218279	1602284013	1664085533	1675353432	1737621462	1808643875	1855744496
"Work related self-education expenses - maintaining or improving skill"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	416690	457710	"466590"	460135	471695	487765	470904	480940	486147	410001
"Work related self-education expenses - maintaining or improving skill"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	722499374	811525474	"854955454"	852330434	893185245	915084264	900226171	903491470	932259476	863974339
"Work related self-education expenses - study leading to increased income from work"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66450	67575	"68805"	79390	85460	87400	81924	93980	97799	92244
"Work related self-education expenses - study leading to increased income from work"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134308614	141410601	"148292431"	173454156	188074752	195972541	190491666	215928716	236621627	236594220
"Work related self-education expenses - other"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9840	8685	"9845"	20125	17855	19640	19227	27123	34574	33288
"Work related self-education expenses - other"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14038535	12901336	"14777085"	31197088	31537152	31261041	29672711	37951410	51184234	55931088
"Work related self-education expenses - blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	131810	192410	"144545"	131980	26190	24238	13333	11986	8666	6505
"Work related self-education expenses - blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84998422	118830392	"91866252"	86740487	28886056	25926995	14269427	12496847	9535688	7193551
"Total work related self-education expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	434580	442840	458570	508435	482425	491310	559280	509030	513065	516350	528065	534980	533720	533405	530665	624790	726380	"689785"	691635	653220	619043	585388	614029	627186	542038
"Total work related self-education expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.18e+08	3.49e+08	3.85e+08	4.36e+08	469022722	530623316	618369361	574636475	625187802	672887563	715778173	752075457	784493134	813352318	866398509	955844945	1084667803	"1109891222"	1143722165	1201565950	1168244841	1134659975	1169868443	1229601025	1163693198
"Other work related expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4332970	4306265	4333345	4441565	4915645	5017980	5127245	5328405	5618295	5775215	5239105	5287430	5483665	5690545	5906300	6104450	6360155	"6347360"	6445275	6631200	6875463	6928489	7051228	7159512	7072297
"Other work related expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.207e+09	2.082e+09	2.124e+09	2.221e+09	2614451495	2708537537	2774937779	2827794025	3105454004	3407798556	3675008390	3839997877	4195829639	4542579486	4960686849	5394661617	5867778759	"6002676642"	6249800321	6639450624	7069880886	7310605063	7588967743	8029961885	8201312490
"Total work related expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	4911490	NA	5877335	5940785	5797250	5537290	5506435	5681045	6141875	6230765	6359875	6525590	6847070	7016340	6947750	7066925	7297660	7540715	7771150	8041825	8428670	"8355285"	8456865	8675620	8857293	8814847	8926135	8871256	8627122
"Total work related expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.171e+09	NA	4.804e+09	5.176e+09	5.355e+09	5.032e+09	5.101e+09	5.525e+09	6385829817	6640620597	7006828647	7316915249	8323000346	9330157188	10307723016	10827791993	11740687595	12611631822	13800068143	15048362449	16543366841	"17141042844"	17938958313	19021248736	20064108859	20524875587	21541583934	22453085793	21982362916
"Low value pool deduction"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	103170	143085	178415	204045	230875	249310	265685	"272980"	283030	293520	310798	299584	309157	313291	302859
"Low value pool deduction"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53632965	74070194	93771638	104386771	110930263	112695718	115085261	"114740305"	116328116	120352069	127224684	129031534	135103362	141051388	138240099
"Interest and dividend deductions"	"no."	NA	NA	NA	NA	119365	NA	NA	NA	NA	NA	NA	839300	1197220	1484230	1600005	1679360	1845875	1907945	1922110	1851555	1705405	1711960	1661955	1156390	964580	967980	990350	950075	969820	957710	"904340"	NA	NA	NA	NA	NA	NA	NA
"Interest and dividend deductions"	"$"	NA	NA	NA	NA	42205000	NA	NA	NA	NA	NA	NA	5.7e+08	4.97e+08	5.59e+08	4.66e+08	5.17e+08	5.94e+08	1023676412	1110995958	1301669962	867754981	1045664778	1323080079	1404048130	1570085480	1873846909	2344782318	2893705634	3790194354	4221110284	"3385830937"	NA	NA	NA	NA	NA	NA	NA
"Interest deductions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	535665	498160	450293	381823	344713	317265	275884
"Interest deductions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1529741420	1394045792	1230900859	971911183	871034731	787863484	730410026
"Dividend deductions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	301200	311940	293844	276468	275392	258044	262835
"Dividend deductions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1514643375	1661774349	1455568844	1265264557	1184140465	1124693686	1014508627
"Gifts or donations"	"no."	NA	NA	NA	NA	NA	NA	NA	3925705	3560850	3645335	NA	NA	NA	NA	3134555	3156225	3170370	3259235	3232260	3300100	3392450	3471650	3565275	3750205	3854545	4006745	4462255	4346220	4448860	4536475	"4780600"	4545765	4928310	4663785	4682081	4675588	4673398	4511057
"Gifts or donations"	"$"	58694000	68456000	122140000	152243000	199689000	213463000	230342000	282782000	308956000	329834000	NA	NA	NA	NA	4.39e+08	4.71e+08	4.95e+08	539207259	564627744	610946663	685557681	744131056	867537254	925155255	1000823363	1202353414	1524305412	1615119212	1950764705	2385983131	"2140788508"	2032990857	2305010412	2297780863	2354985656	2685432841	3137598036	2858740206
"Cost of managing tax affairs"	"no."	1220190	1270935	1378025	1548180	1761740	1980660	2201205	2360410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4395795	4650215	4804840	4986900	5022235	5052485	5105485	5176160	5299925	5379390	5466180	5640455	"5928905"	5888415	6140470	6316893	6368304	6354256	6350823	6087224
"Cost of managing tax affairs"	"$"	37252000	42839000	51827000	64812000	81677000	100592000	121867000	147608000	168434000	NA	NA	NA	NA	NA	NA	NA	NA	NA	578145432	633988293	692716288	760745355	900840866	992466474	1071981916	1178269238	1302599141	1403481123	1533316026	1779505944	"1985869879"	2199647327	2341927738	2473280943	2519738858	2457016000	2456705141	2255885836
"Total supplement deductions (itemised below)2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	779050	809985	"804375"	832565	886815	911508	903640	901231	904291	919412
"Total supplement deductions (itemised below)2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9812713695	9536876051	"8446398035"	5938017697	6152910366	6392907774	4901176344	5705818509	6513030444	6648941704
"Total Deductions2"	"no."	NA	NA	NA	NA	NA	NA	NA	6100545	6175620	6583760	7092900	7360560	7446495	7554775	7363195	7387915	7582125	8031015	8158185	8275540	8371080	8602780	8694205	8714155	8856570	9136495	9471765	9712860	10036610	10362015	"10307535"	10385720	10673745	10846338	10776879	10846666	10729996	10348845
"Total Deductions2"	"$"	NA	NA	NA	NA	NA	NA	NA	5.044e+09	4.695e+09	6.152e+09	7.938e+09	8.772e+09	9.147e+09	1.2391e+10	1.1096e+10	1.1446e+10	1.1947e+10	14290028898	14905959754	15949822906	16368204755	14170352868	16085766130	17779939125	18941438452	21158365457	23927124226	28385384773	35881851958	34582105508	"33780715488"	31270446088	32997269759	34041772826	32666811574	34580129842	36614027972	35629089414
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Total income or loss less total deductions2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Total income or loss less total deductions2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12403230	12887735	"12731025"	12885285	13111940	13307256	13342974	13575121	13677803	13425813
"Total income or loss less total deductions2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	530364487865	566312013592	"578677509832"	606273847676	660511413201	701617314134	739210661574	775092700233	793113188425	794648382934
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Losses"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax losses of earlier income years - Primary production losses carried forward from earlier income years"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41010	39925	44140	50770	"48865"	52205	56055	51012	48602	52379	49222	41948
"Tax losses of earlier income years - Primary production losses carried forward from earlier income years"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2314500859	2558585672	2842815837	3467405277	"3973647379"	4471897927	5222619254	5179614783	5249356614	5678516511	5727032583	5187720923
"Tax losses of earlier income years - Non-primary production losses carried forward from earlier income years"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106730	123070	143825	155605	"164260"	160420	161320	157588	165073	168492	162040	150428
"Tax losses of earlier income years - Non-primary production losses carried forward from earlier income years"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2733760649	3456942317	3890976063	4440973836	"5338610574"	6441083873	6766350976	6959012632	7354970921	7485288725	6996388577	6287865123
"Total tax losses of earlier income years carried forward from earlier income years"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	182210	199885	"206165"	204535	226810	199241	204027	209837	201176	183675
"Total tax losses of earlier income years carried forward from earlier income years"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6733791900	7908379113	"9312257953"	10912981800	11988970230	12138627415	12604327535	13163805236	12723421160	11475586046
"Tax losses of earlier income years - Primary production losses claimed this income year"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50135	42505	32820	38860	24425	21480	21695	27685	"23660"	23690	30520	23748	20776	24616	26488	22363
"Tax losses of earlier income years - Primary production losses claimed this income year"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2151769419	1899651113	1468744103	1584625144	487192508	429331953	443413076	579691534	"562210447"	521124493	882305348	666275891	609266403	734735424	821923695	782050816
"Tax losses of earlier income years - Non-primary production losses claimed this income year"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67485	79465	80730	85945	62825	64465	74185	77265	"80675"	84980	83080	79671	79405	80366	75579	69680
"Tax losses of earlier income years - Non-primary production losses claimed this income year"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1716508278	1821043014	1756492058	1796546884	688407065	788160840	926495266	984214264	"1086391053"	1378416041	1391552513	1296818781	1344099898	1364723538	1209449757	1088041123
"Total tax losses of earlier income years claimed this income year"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73310	80500	87185	80195	90485	86075	84755	94560	103410	"102715"	106845	111115	101278	98164	102772	99649	90020
"Total tax losses of earlier income years claimed this income year"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	842156636	1084818986	1127033851	991831902	1143097494	1173807715	1217492743	1369908342	1563905798	"1648601500"	1899540534	2273857861	1963094672	1953366301	2099458962	2031373452	1870091939
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Taxable income or loss2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Taxable income or loss2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12189910	12661075	"12497395"	12648555	13068025	13265848	13302389	13528820	13636027	13388228
"Taxable income or loss2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	532310873092	568595402462	"581277500867"	608133004479	658167177189	699637156136	737257091823	772992984519	791081777173	792777873465
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Taxable income (not loss)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12840430	13068020	13093045	13134679	13372839	13490266	13249286
"Taxable income (not loss)"	"$"	57563107000	68078291000	79045481000	91064326000	99671894000	106099370000	112655931000	1.30595e+11	1.44857e+11	1.6664e+11	1.89579e+11	2.00215e+11	2.0243e+11	2.03117e+11	2.10903e+11	2.22712e+11	2.3658e+11	264563681532	273609356592	294733664539	309083899417	335473326376	354681007196	366689146155	386455167966	416344145771	449105991708	483218599181	532310873092	568595402462	"581277500867"	610178889876	658167073804	702834200231	740421792742	775670269585	793515478117	794975139175
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax calculated"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax on taxable income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11774130	12075175	12320812	10727418	10957906	11110833	10999762
"Tax on taxable income"	"$"	11963381000	13864776000	16250870000	19524300000	23189347000	24979318000	26955710000	31453890000	35290505000	4.0085e+10	4.8339e+10	4.6833e+10	4.6089e+10	4.5776e+10	4.8637e+10	5.1024e+10	5.4444e+10	61555124669	66086246093	72119711261	77513594417	86909911134	82616841614	86316083504	92838132043	100542894543	109464561643	115525646211	122744641532	127514602293	"125808260581"	131933456442	144988295727	156410203868	158861873717	170083945039	175192463946	177044024731
"Complementary tax"	"no."	NA	NA	NA	NA	NA	75230	70375	58185	38110	35335	39465	55455	106120	97580	84125	74815	62215	51915	64155	70390	73445	63295	44920	43315	53520	57675	58480	56275	48220	41185	"39905"	44465	34410	38708	35275	33594	35462	36867
"Complementary tax"	"$"	NA	NA	NA	NA	NA	21684000	18795000	14655000	9446000	9e+06	1.1e+07	1.8e+07	4.5e+07	4.1e+07	3.3e+07	2.6e+07	1.9e+07	16571001	23261559	26805535	31581841	26547052	15209888	16116244	22967161	27730619	29204600	29240797	22058098	17488777	"16988645"	19039053	13679227	16673592	27372586	26772459	30439145	34732210
"Medicare levy"	"no."	NA	NA	NA	NA	NA	5438400	5555965	NA	NA	NA	NA	6467380	6041845	5977500	5985695	6002070	6293920	6747840	6886210	6956535	7431980	7396620	7403685	7421690	7533285	7765765	8026890	8253100	8512005	8727310	"8666605"	8669470	9027380	9315961	9332248	9520276	9552411	9385453
"Medicare levy"	"$"	NA	NA	NA	NA	NA	395614000	1035350000	1182668000	1499599000	1.865e+09	2.131e+09	2.224e+09	2.199e+09	2.228e+09	2.295e+09	2.697e+09	2.907e+09	3452444506	4121303145	3881760755	4335426214	4466202483	4707949218	4858396410	5125909394	5543147887	5999849932	6468919889	7101763428	7607234083	"7758722458"	8318675268	8880539453	9475603742	9943028297	10441216565	14149816486	14175859009
"Medicare levy surcharge"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	167330	267630	276590	166085	203695	245785	346135	452440	535995	680090	760230	"221825"	241915	254870	264125	218086	203136	186149	188629
"Medicare levy surcharge"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112142940	165980790	166595962	103585909	124659977	151124433	212964034	276814678	334559635	431162935	482765262	"195443083"	209253201	227110036	247129523	277897180	269155866	251792259	241484958
"Total Medicare levy liability"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9512392	9545026	9380278
"Total Medicare levy liability"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10696435054	14382611744	14400903769
"Temporary budget repair levy payable"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	416194	415597
"Temporary budget repair levy payable"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1353100135	1377581201
"HELP assessment debt"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31240	57205	71585	76875	90395	123955	147675	191210	200630	328090	319955	342990	354840	348515	351530	369220	270190	301650	325025	364250	"369430"	377430	404610	424012	442634	449581	460505	498052
"HELP assessment debt"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e+06	2.8e+07	4.8e+07	5.5e+07	7e+07	1.29e+08	1.64e+08	218991184	267269735	485124017	491840483	561684502	606011706	611710892	638941417	704148931	683518081	808905432	938640956	1123990859	"1195801691"	1270027786	1418884164	1532192796	1632507840	1688655877	1764450460	2035648353
"Supplementary loan assessment debt"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58430	60175	"53215"	47685	44230	39291	34960	30154	25764	22919
"Supplementary loan assessment debt"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89127687	96792773	"89359659"	83067426	80455895	74071537	67661814	59571085	51324474	46477416
"Trade support loan assessment debt"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	909	2397
"Trade support loan assessment debt"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1694815	5907379
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax offsets - on tax returns"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Spouse tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	947930	491840	468785	469340	469625	476545	361585	352525	351915	352885	354870	365810	367290	399445	"383295"	364835	326405	234380	102132	85787	8	NA
"Spouse tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.15e+08	433138091	429700838	437020491	446460345	467287198	373215575	383488136	398880437	414514669	433214291	462652584	481793164	641398482	"636918770"	616185195	542566314	407221416	170141905	142371342	8523	NA
"Senior Australians tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27775	35840	40610	48680	305015	609220	618645	594750	611150	602160	644170	669430	"632360"	645850	655475	658118	NA	NA	NA	NA
"Senior Australians tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9661135	28663152	34259696	43218023	517019688	1171674399	1168996585	1085404078	1073996657	1075588643	1153880829	1263527458	"910077288"	945569900	980613967	983575781	NA	NA	NA	NA
"Pensioner tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	326935	354290	380655	525775	541430	572250	589655	577190	600660	618760	702460	748670	677915	651430	662225	564155	257610	270385	298035	305700	327500	319815	314240	"279010"	267775	241480	297508	NA	NA	NA	NA
"Pensioner tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	53257000	6.1e+07	6.3e+07	1.67e+08	2.67e+08	4e+08	4.02e+08	4.11e+08	4.79e+08	4.78e+08	594017470	675515266	610994687	604572460	657311333	1012548947	343522133	382340548	453018910	510690478	488209731	496200100	511889657	"372745973"	399465116	401580220	654811069	NA	NA	NA	NA
"Seniors and pensioners tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	630122	604919	623624	611607
